Item,TypeID,Volume_m3,Region_1,Region_2,Buy1,Sell1,Buy2,Sell2,Fee_per_m3,Profit_1,Profit_2,Profit_3,Profit_4,ROI_1,ROI_2,ROI_3,ROI_4,Timestamp
Tritanium,34,0.01,jita,C-J6MT,3.48,3.91,2.71,3.16,1200,-12.77,-13.2,-12.32,-12.75,-0.8249354005167958,-0.829666876178504,-0.7958656330749354,-0.8013827781269641,2026-06-12 14:13:38.287367
Pyerite,35,0.01,jita,C-J6MT,18.71,19.5,17.75,19.93,1200,-12.96,-13.75,-10.780000000000001,-11.57,-0.42201237381960277,-0.4365079365079365,-0.35102572451970043,-0.3673015873015873,2026-06-12 14:13:38.296595
Mexallon,36,0.01,jita,C-J6MT,58.07,56.35,47.01,49.69,1200,-23.059999999999995,-21.339999999999996,-20.379999999999995,-18.659999999999997,-0.32909947195661476,-0.31221653255303583,-0.29085200513771936,-0.2730065837600585,2026-06-12 14:13:38.305681
Isogen,37,0.01,jita,C-J6MT,233.3,260.5,217.7,234.9,1200,-27.600000000000023,-54.80000000000001,-10.400000000000006,-37.599999999999994,-0.11251528740317987,-0.2011009174311927,-0.04239706481858951,-0.13798165137614676,2026-06-12 14:13:38.315196
Nocxium,38,0.01,jita,C-J6MT,760.6,748.8,666.1,711.3,1200,-106.5,-94.69999999999993,-61.30000000000007,-49.5,-0.1378462334972819,-0.12447423764458457,-0.0793424799378722,-0.06506309148264984,2026-06-12 14:13:38.333896
Megacyte,40,0.01,jita,C-J6MT,2852.0,2959.0,2636.0,2768.0,1200,-228.0,-335.0,-96.0,-203.0,-0.07960893854748603,-0.1127566475934029,-0.0335195530726257,-0.06832716257152474,2026-06-12 14:13:38.343373
Zydrine,39,0.01,jita,C-J6MT,1605.0,1591.0,1368.0,1425.0,1200,-249.0,-235.0,-192.0,-178.0,-0.15398886827458255,-0.14660012476606363,-0.11873840445269017,-0.11104179663131628,2026-06-12 14:13:38.324436
Morphite,11399,0.01,jita,C-J6MT,20940.0,22080.0,18320.0,20980.0,1200,-2632.0,-3772.0,28.0,-1112.0,-0.1256204658266514,-0.17074053956183233,0.0013363879343260786,-0.050334962882491396,2026-06-12 14:13:38.353373
